group_name,group_category
Arab World,Region
Central Europe and the Baltics,Region
East Asia & Pacific,Region
Europe & Central Asia,Region
Latin America & Caribbean,Region
Middle East & North Africa,Region
North America,Region
South Asia,Region
Sub-Saharan Africa,Region
Africa Eastern and Southern,Region
Africa Western and Central,Region
Europe & Central Asia (Excluding Western Europe),Region
European Union,Economic
OECD members,Economic
High income,Income
Low income,Income
Lower middle income,Income
Low & middle income,Income
Middle income,Income
Upper middle income,Income